,id,name,x,y,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,row,col,accsum,x_degree,y_degree,z_degree,x_rad,y_rad,z_rad
1142,453,eunnho,113,392,3.584568506,-7.198167291,-5.203347811,-14.52715496,-11.89365685,-16.50745903,1,0,9.577973280692937,68.02195670642523,138.72338510547604,122.90596672462632,1.187207108176158,2.421179819602618,2.14511378969132
1143,454,eunnho,218,376,1.720832443,-7.286753337,-6.326078752,18.96234342,18.45193192,-20.13998244,1,1,9.8019034308479,79.88869069569353,138.02201467349266,130.19513916995504,1.3943206877472114,2.4089385962883734,2.2723338486079525
1144,455,eunnho,234,221,2.715323666,-8.995762656,-5.736356956,6.071468278,-29.64003621,-13.19387557,0,1,11.00920158326086,75.72115044429246,144.7968378479467,121.40278584961844,1.3215833886508705,2.5271815669230104,2.1188783341694233
1145,456,eunnho,205,559,1.51971965,-5.649119402,-7.349450909,45.52260293,9.800038237,-7.805432608,2,1,9.393429964419274,80.68945864254822,126.96954884171612,141.48115202958002,1.4082967249642606,2.216036677059699,2.469311932430829
1146,457,eunnho,320,379,1.81719906,-6.133196465,-9.085696025,20.55525452,16.30571231,-2.87299357,1,2,11.111623803956567,80.58754795752533,123.5017333970982,144.8527163597438,1.4065180479676485,2.1555118796996053,2.528156830934984
1147,458,eunnho,210,209,3.201496825,-7.382071906,-4.336647395,-17.82678349,-79.44626058,-28.7182851,0,1,9.140627887317143,69.49744716683979,143.86317501021747,118.32266617391744,1.2129592747921594,2.5108860763011216,2.0651201044729808
1148,459,eunnho,323,225,2.95923296,-7.265953126,-5.327995935,-1.593189862,-32.3172313,-24.44537681,0,2,9.483600330262556,71.81797533081514,140.01028165849118,124.18116935889458,1.2534601316387879,2.443640401585298,2.1673702742894063
1149,460,eunnho,201,565,1.207126696,-5.023932909,-8.511535955,20.6425341,9.022838695,-11.43638593,2,1,9.957072915650805,83.03672708123734,120.30209654442689,148.7401973308222,1.4492642876475323,2.099667681752342,2.596006173488929
1150,461,eunnho,333,572,-0.315585697,-4.848108724,-10.46385777,6.268079115,26.9619122,4.23497854,2,2,11.536727090586188,91.5675142690269,114.84927283882429,155.09455708775317,1.598154611861408,2.0044979545587784,2.7069106731036006
1151,462,eunnho,109,206,3.250427737,-8.603563081,-4.166658492,36.82666221,-51.91438275,-40.22360557,0,0,10.09691146594645,71.22074204617726,148.4406523319697,114.37245916772495,1.2430364444193567,2.59077812700107,1.9961759860795738
1152,463,eunnho,89,542,2.726397433,-6.050147595,-6.977900739,27.44092191,-33.21429469,-38.42578708,2,0,9.62957047885782,73.55303973693728,128.92395765143857,136.43829345920892,1.2837427182597794,2.2501475457193387,2.3812974466654393
1153,464,eunnho,119,387,3.608211539,-7.297227969,-4.31794211,-7.51761612,-34.20227131,-11.71861276,1,0,9.214844035958496,66.94807896128911,142.36335412375624,117.94251605583653,1.1684644057596403,2.484709263642193,2.058485233260624
1154,465,eunnho,225,381,2.318634524,-7.537844652,-5.607369341,-15.13583751,-7.807389457,-16.58364125,1,1,9.676660528299857,76.13641625642212,141.16652093549303,125.41352718883036,1.3288311443435012,2.463820583909859,2.188878975984518
1155,466,eunnho,114,376,3.413084104,-7.040748532,-3.952078753,-11.77446151,-27.40018666,-32.1016398,1,0,8.765854747926848,67.0852400598375,143.43692920469786,116.79818192094564,1.1708583185349624,2.503446683571989,2.0385128348638166
1156,467,eunnho,208,226,3.490746021,-8.169764837,-4.148253359,9.046873277,-29.10077569,-15.64810853,0,1,9.805017654520759,69.14425662066176,146.43124102111753,115.0288489586393,1.2067949368744357,2.5557072835998844,2.0076321491075064
1157,468,eunnho,231,341,2.689885565,-6.597073621,-5.553650026,14.33064017,-30.6582569,-15.88422305,1,1,9.033265927945397,72.6759547167163,136.91228829130824,127.93737436036596,1.2684346968370024,2.38957021712301,2.2329284189449603
1158,469,eunnho,113,560,4.178031535,-6.143371822,-7.018153254,16.28460361,10.12249061,-14.90328152,2,0,10.220148724330231,65.87031167391724,126.94900360254606,133.36927320007922,1.1496538180247133,2.2156780949905714,2.3277329383332166
1159,470,eunnho,337,379,1.489642418,-6.788160257,-8.913612196,14.78705902,30.94296651,2.993435631,1,2,11.302682716457149,82.426641812919,126.9114171405398,142.05748126906107,1.4386162909974645,2.2150220874743867,2.4793707752352887
1160,471,eunnho,115,206,3.650708619,-8.372374152,-4.23624027,1.325114862,-31.91942743,-28.78049105,0,0,10.068269662016819,68.74032361110835,146.25936204875566,114.88204635427113,1.1997449759002388,2.5527074296172256,2.005069960310779
1161,472,eunnho,318,221,2.7576714,-7.264756609,-6.877194631,17.33281225,-32.17431301,-8.833129338,0,2,10.37676472370085,74.58821286014562,134.4349009486459,131.5098965514428,1.3018098975879178,2.3463316511463193,2.295280693779813
1162,473,eunnho,216,563,1.252317106,-5.640888749,-8.177844683,10.91656926,27.90006259,-5.662176876,2,1,10.013244612604167,82.8154290080193,124.28728782783635,144.7560782323656,1.445401907641558,2.1692223909696153,2.5264701774292733
1163,474,eunnho,328,579,-0.73127897,-5.938817803,-8.632443723,10.28894574,41.23398179,14.14991251,2,2,10.503495154469112,93.99230176378514,124.43100939273934,145.27181711945371,1.6404751373061242,2.1717308054832913,2.5354715190895316
1164,475,eunnho,109,198,3.169624015,-8.694095001,-6.373963077,7.132310635,16.75757372,-23.06381567,0,0,11.236601336250978,73.61559643339584,140.69002702815823,124.55868765918231,1.2848345385821518,2.455504196361174,2.17395921161596
1165,476,eunnho,193,379,2.657414205,-7.123797402,-6.362739965,-5.217893134,-13.46238055,3.892376678,1,1,9.914373381302822,74.4525379076151,135.93343609349625,129.92387485204466,1.2994419229537733,2.372486023380808,2.26759939311724
1166,477,eunnho,208,576,1.169866859,-5.472098116,-8.232462408,36.49514532,9.445150999,-2.233160231,2,1,9.954189246646381,83.25071082929047,123.34836545171656,145.79534960425664,1.4529990085968176,2.1528351040856766,2.5446088846904904
1167,478,eunnho,326,207,2.772485522,-8.08462104,-4.499302885,6.806485852,-40.69720064,-20.1521692,0,2,9.658752496108367,73.31894174753126,146.8273280414482,117.76372493457592,1.2796569375723454,2.5626203062290682,2.0553647395212935
