,name,x,y,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,row,col,accsum,x_degree,y_degree,z_degree,x_rad,y_rad,z_rad,idx
0,geunyoung,90,547,2.482637776,-6.680571404,-5.483320352,14.12865867,-18.79265932,-32.96979441,2,0,8.992237023867986,73.97321030590996,137.9813109253534,127.57387104722432,1.2910760781083306,2.4082281818654407,2.2265840892887305,6
1,geunyoung,318,366,0.914734672,-6.956952059,-7.316829327,0.924882959,-7.152555316,0.32932883,1,2,10.137648290990892,84.82307781169688,133.33392146958226,136.19900367296586,1.4804419894894572,2.327115934239767,2.3771210520291044,5
2,geunyoung,192,551,1.130512243,-6.830807559,-8.07998169,29.27746927,-11.49308162,-13.24102692,2,1,10.640681084893002,83.90113639551006,129.93753710915436,139.4067674861436,1.464351076266498,2.267837844487058,2.4331070921953843,7
3,geunyoung,300,206,3.34604675,-7.697358922,-4.824465398,1.213888327,-46.70083788,-8.382590423,0,2,9.680951895540948,69.77961993536886,142.6650343936454,119.89064434912116,1.2178841186624594,2.489974577640064,2.092486486229698,2
4,geunyoung,106,199,3.105130208,-8.552538412,-3.942202087,5.057665007,-41.88511397,-29.7078873,0,0,9.91608310736234,71.75138791978743,149.5975016104771,113.42550450113824,1.2522979620759758,2.6109689558603453,1.9796485092805105,0
5,geunyoung,300,552,0.986111791,-4.170250379,-10.47927044,67.22974325,41.0420808,37.62297689,2,2,11.32159501318417,85.00320162018637,111.61357149599556,157.75903247446635,1.4835857430088308,1.948024312515216,2.7534145414400952,8
6,geunyoung,220,386,1.854159694,-6.834697552,-7.26355834,3.339278205,-24.73753986,-19.90846464,1,1,10.144470343825375,79.46853868048444,132.35609059188647,135.72616407917994,1.3869876517229236,2.3100495658963096,2.3688684442837475,4
7,geunyoung,104,396,4.045602548,-6.769456726,-5.595697608,3.189269535,-39.30176226,-8.988194268,1,0,9.669760910268032,65.26785660274052,134.4321823036214,125.35775697868998,1.1391389934373428,2.346284201839449,2.187905602193039,3
8,geunyoung,209,212,3.289633373,-7.859117172,-3.941454191,-3.078121012,-73.591962,-15.26783433,0,1,9.387357007791495,69.48623948050393,146.84586125499897,114.826276782696,1.2127636637640675,2.562943771826504,2.0040965976643665,1
9,geunyoung,118,400,3.092860217,-6.130952486,-5.938368305,12.6991496,-33.94484489,-10.19770893,1,0,9.078467978316574,70.08163925164757,132.47970231347642,130.85263051264303,1.2231553501361452,2.312206997432112,2.283809237341216,3
10,geunyoung,321,554,0.052672363,-4.74246516,-9.019107291,33.76721558,18.68721828,18.13025562,2,2,10.190095509768648,89.7038381501885,117.73607882548302,152.26206305586334,1.565627327396889,2.054882223892257,2.657474326204034,8
