,name,x,y,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,row,col,accsum,x_degree,y_degree,z_degree,x_rad,y_rad,z_rad,idx
14,hyeonyoung,213,369,2.048688579,-6.524498799,-6.333112304,-22.75473253,-19.87947732,-3.901122735,1,1,9.320650241638385,77.30265284748752,134.42737955834016,132.80232533390256,1.3491858127148273,2.3462003781211567,2.317837831381277,4
15,hyeonyoung,200,206,2.705896789,-7.760953734,-4.900331956,-26.94275864,-62.48840351,-27.37223752,0,1,9.56909262014972,73.57412565008875,144.19804425878766,120.8038085859282,1.284110736870062,2.5167306472523507,2.1084242087734424,1
16,hyeonyoung,311,213,2.383726882,-7.684488919,-5.338171877,-19.88325441,-40.81507263,-8.639420904,0,2,9.655547772270454,75.7072496563622,142.73680219661568,123.56348387539968,1.321340774132866,2.4912271620988182,2.1565896288606474,2
17,hyeonyoung,222,575,1.224484439,-4.600608128,-10.93566572,18.10601357,19.42414105,8.250317833,2,1,11.927017314834249,84.1073596768373,112.6890656734586,156.47440453119114,1.4679503515199248,1.9667952269979736,2.7309935541668198,7
18,hyeonyoung,310,556,-0.361374914,-4.645349771,-9.132682233,18.52519765,28.98270563,12.10692951,2,2,10.252597285193255,92.01993177480692,116.94211158334736,152.96987146613355,1.6060507869309295,2.041024881364011,2.669827913436556,8
19,hyeonyoung,92,537,3.026570174,-6.004807401,-7.257274145,-5.599559836,-17.23002815,-22.60362655,2,0,9.89372866804706,72.18720380567699,127.36790000857268,137.18252956724177,1.2599043842172444,2.2229892165005074,2.394286817162841,6
20,hyeonyoung,321,390,-7.31e-08,-6.484096646,-8.130858475,-11.4637878,9.799390223,13.95720897,1,2,10.399729268358277,90.0000004027337,128.57122777583623,141.4287722241638,1.5707963338239257,2.243991248019928,2.468397732364762,5
21,hyeonyoung,118,394,2.330007128,-7.164647883,-6.403291756,12.85201691,-13.30852712,-20.64195865,1,0,9.88753042050262,76.3699957525591,136.43678797782692,130.3618618579861,1.3329078756162411,2.381271171058496,2.2752437084518697,3
22,hyeonyoung,120,199,2.036867355,-8.506598499,-6.34448447,1.39360992,-10.75238603,-32.79010579,0,0,10.805717460452358,79.13479723298985,141.92751542492036,125.95441716876564,1.3811627646137712,2.477102443339899,2.1983192870254347,0
23,hyeonyoung,98,377,3.204190302,-6.767809543,-6.190657305,2.097497733,-20.03995944,-13.89814149,1,0,9.715673901984491,70.74360655693746,134.15379457098746,129.5820443991877,1.234708859154008,2.341425419307825,2.261633326231303,3
24,hyeonyoung,320,392,1.189768478,-5.100248087,-9.899126039,18.05192872,12.43246571,7.688650034,1,2,11.19914174908941,83.90153286011125,117.09158721483185,152.11869621512955,1.464357995879156,2.0436337232849127,2.654972102795047,5
25,hyeonyoung,224,391,1.180191781,-6.270114288,-7.545925082,5.922133449,4.259347801,-20.35991965,1,1,9.881708919396402,83.14067996535115,129.38418538468756,139.78486643941557,1.4510786077422626,2.258180034973524,2.4397061638283244,4
26,hyeonyoung,238,524,1.511190087,-5.240458521,-8.486247784,12.15409026,-6.205040738,2.920293483,2,1,10.087740204863202,81.38439583048928,121.29790409287692,147.27168406663966,1.420425666988383,2.117047802189008,2.570375781919734,7
27,hyeonyoung,112,216,4.205864129,-8.311770338,-4.082562743,-3.056328227,-15.18960476,-21.95867569,0,0,10.17065080384718,65.57325390042301,144.8085514606364,113.66611908775414,1.1444691818085957,2.5273860080317494,1.9838480260452835,0
28,hyeonyoung,320,545,-0.329202874,-4.486883256,-9.557802665,-11.25576414,6.110382427,6.053043416,2,2,10.563715618488796,91.78582899373406,115.13451102606166,154.7932111707951,1.601964922613133,2.0094763000784908,2.7016511946652413,8
29,hyeonyoung,98,531,3.008912644,-6.532129732,-6.77454265,-10.66965109,1.140525371,-8.791043419,2,0,9.880116510020034,72.26937493552248,131.38679258689444,133.28866552280994,1.261338540983132,2.2931321242761857,2.3263260689624823,6
30,hyeonyoung,309,205,2.807650359,-8.296956216,-5.109974823,-22.38006421,-43.14448133,-15.47457391,0,2,10.140721161747214,73.92658031819131,144.90322371512457,120.25878709500712,1.2902622312924756,2.5290383505828538,2.0989117892627407,2
31,hyeonyoung,224,201,2.390909779,-8.60895062,-6.062717446,-24.49102126,-12.57084022,-22.65118174,0,1,10.797547090841928,77.20691376434742,142.87362246635033,124.15892143130064,1.3475148504911918,2.4936151262891544,2.1669819747011463,1
32,hyeonyoung,319,397,0.71167637,-5.568913062,-9.622895023,12.72001497,-3.815168647,2.111024709,1,2,11.140887961532004,86.33747009623076,119.99090915085596,149.73979745172832,1.5068731210213722,2.0942364371438296,2.613452486802074,5
33,hyeonyoung,287,537,0.587177921,-4.570081472,-9.87099417,27.47120867,45.94679524,19.33793552,2,2,10.893436027067011,86.91014579214554,114.8046761079151,154.97746178220808,1.516868197461235,2.003719594768788,2.70486697448321,8
34,hyeonyoung,217,385,1.511339944,-6.626402007,-6.307823549,-28.86436236,-22.52118787,-27.85285915,1,1,9.27264740567776,80.61956612940794,135.6119127782662,132.86406844506567,1.4070768704874694,2.366874382908116,2.3189154519614985,4
35,hyeonyoung,112,396,2.383278115,-7.212083588,-5.644031139,-13.37160733,-5.085587674,-21.46035533,1,0,9.463046642162269,75.41292587540278,139.65244634062807,126.61453696141903,1.3162038550882054,2.437394997108666,2.209840550864819,3
36,hyeonyoung,108,534,2.547730134,-5.837063647,-6.372317941,14.9631191,-11.42804285,-12.03814609,2,0,9.009366059607697,73.57339748479201,130.3825838756221,135.0155983326899,1.284098027988135,2.2756053758872743,2.356466732455605,6
37,hyeonyoung,121,197,2.522740654,-8.803630311,-4.837485039,-7.795200131,-8.293918346,-12.72828548,0,0,10.357093634927278,75.90229770447571,148.2127271281847,117.84425456399586,1.3247450047720353,2.5868000817467425,2.0567702467000823,0
38,hyeonyoung,223,193,2.685246507,-7.735066429,-4.726452768,-10.68819847,-42.96080046,-22.08863882,0,1,9.45416084232405,73.49924305808038,144.9015536578592,119.99560783016314,1.2828037890870885,2.5290092025848763,2.0943184445682355,1
39,hyeonyoung,215,544,1.103726892,-5.344456656,-7.444171512,5.637968978,19.67887466,12.11663777,2,1,9.230228572470946,83.13228524388353,125.38141351342875,143.75528576488315,1.4509320922128648,2.188318486613844,2.509003053742546,7
40,hyeonyoung,318,212,2.345270164,-7.289745505,-6.542754587,13.83683286,-22.49272306,-5.866104554,0,2,10.072155640950244,76.5352615037307,136.36515010731637,130.51056959566034,1.3357923071149669,2.3800208543489694,2.2778391480974776,2
41,hyeonyoung,212,547,1.011849477,-5.268889666,-8.801983128,29.00343867,25.08638665,5.384017422,2,1,10.308246439728894,84.36681972628097,120.73935845328307,148.63598280899515,1.472478783660104,2.107299341755437,2.5941872869546554,7
42,hyeonyoung,90,549,3.314622269,-5.385456775,-7.164049918,-3.87388266,6.130539596,-5.323273135,2,0,9.555808531418988,69.70401723764176,124.30369989431024,138.56494364102315,1.2165646026637316,2.1695088355666408,2.4184144943762336,6
43,hyeonyoung,212,215,2.908356174,-7.934982852,-5.083937588,-8.513425258,-37.12362518,-12.69795261,0,1,9.862500184793776,72.84903734452854,143.56787840305245,121.02965267663694,1.2714555585703295,2.505732178236124,2.1123659317524823,1
44,hyeonyoung,298,538,0.302567162,-4.71283633,-9.963170934,14.57252108,31.39096886,15.72769048,2,2,11.025749326961458,88.42749935327235,115.30514821407088,154.6390678274212,1.543351013019759,2.012454480835596,2.6989608858033343,8
45,hyeonyoung,104,221,2.425176644,-8.832060287,-4.311508277,-5.031875067,-27.61725519,-21.58836503,0,0,10.123036811670948,76.13883301861856,150.7471168753881,115.20831250791836,1.328873324801067,2.6310335273642287,2.0107643789297414,0
