,name,x,y,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,row,col,accsum,x_degree,y_degree,z_degree,x_rad,y_rad,z_rad,idx
0,eunnho,330,595,-0.188543321,-4.746805236,-8.906279954,54.10460926,78.744404,33.41874616,2,2,10.094034433834322,91.07027223706916,118.05107599058417,151.92484728859142,1.5894761012244387,2.06037996155772,2.6515888007755,8
1,eunnho,306,382,1.674145657,-6.155792913,-8.770109734,27.31752942,6.391372141,-5.285663979,1,2,10.844877814664144,81.11962290404729,124.58457726818372,143.96782771734846,1.4158045076518295,2.1744110705350885,2.512712610611683,5
2,eunnho,321,185,2.91643719,-9.19089243,-5.372138444,-106.7473668,46.50790895,-9.509315504,0,2,11.038024325238151,74.67954906191571,146.37269093261426,119.1235079140565,1.3034040150350716,2.554685391778168,2.079097429625808,2
3,eunnho,204,384,3.229029559,-6.233302853,-5.311985296,-23.4878082,-58.16712724,-7.023613724,1,1,8.80328825695455,68.48171611436317,135.0777192399202,127.1144571989552,1.1952314236116948,2.3575509468211,2.2185658050071773,4
4,eunnho,330,381,0.735468822,-6.024110068,-8.85181245,10.72531884,5.268521912,9.076567525,1,2,10.732446140069282,86.07057794394271,124.14567207439714,145.56530107338378,1.5022149742162114,2.166750729799409,2.5405937803873826,5
5,eunnho,221,169,3.473387474,-8.272265427,-4.42313793,-33.16290435,-58.4856736,-33.93685357,0,1,10.002946815168231,69.6816247220086,145.79003938956325,116.24327956884012,1.2161737795381289,2.544516203960103,2.0288279617925147,1
6,eunnho,89,389,3.890577698,-6.627897799,-7.268646603,4.921677222,-34.74684912,-7.767980973,1,0,10.578225158194895,68.4205432795874,128.79681417912363,133.40357992475148,1.1941637562320797,2.247928473505025,2.3283317036343223,3
7,eunnho,70,545,3.778648478,-5.903502159,-8.142830068,-1.654681948,-14.97553468,-22.65827148,2,0,10.744077604798576,69.4089184540209,123.33036571239154,139.2785453178898,1.2114141572709172,2.152520949369954,2.430869193185309,6
8,eunnho,321,585,-0.46178159,-5.130025385,-9.203760094,17.06676614,74.27340998,23.88767479,2,2,10.547018657208977,92.50939128270385,119.10396076699776,150.76699733805702,1.6145934668989224,2.0787562675502618,2.631380506894621,8
9,eunnho,108,210,4.147804446,-8.051998874,-4.318242262,8.246746498,-55.69011815,-36.74221034,0,0,10.034250536162505,65.58362724622324,143.36484020514877,115.48979016071276,1.1446502308472577,2.502188493175389,2.015677090741789,0
10,eunnho,310,205,2.467673431,-8.351423719,-3.869180105,-23.0019905,-43.99028756,-15.12012125,0,2,9.529231080274362,74.99173997417402,151.21117057622408,113.95586211486795,1.308852774348784,2.6391327923498813,1.9889049958531144,2
11,eunnho,208,557,0.361524451,-4.791994623,-10.13330889,46.005791,24.57115987,-3.398556349,2,1,11.215072958107976,88.15271693797273,115.29516866769316,154.62785707037207,1.538555155146198,2.0122803048934497,2.6987652211811857,7
12,eunnho,94,390,1.958606303,-7.356633514,-5.754612743,-6.902344142,-31.32592155,-8.526249792,1,0,9.543152683016096,78.1566374255622,140.43305313526398,127.08575028175142,1.3640906553634848,2.4510191558385017,2.218064774783873,3
13,eunnho,217,401,1.529595732,-6.989722694,-7.502529593,7.207878994,27.00313752,-12.51741022,1,1,10.367441185568016,81.51569966153478,132.39201033992984,136.35770652858764,1.422717351160609,2.310676483766153,2.3798909393920216,4
14,eunnho,203,572,0.844704273,-5.072416077,-9.139864253,16.74660102,28.33246308,14.7606962,2,1,10.487137299105976,85.38000940744797,118.92601019309949,150.63703072776556,1.4901622795436995,2.075650444129923,2.6291121616273787,7
15,eunnho,119,178,2.799121016,-9.380183414,-8.024016642,-29.01705465,65.19798736,-25.69554561,0,0,12.65732050686821,77.22362379555481,137.82414591567448,129.3416146687076,1.347806495553872,2.405485134977615,2.257437035814742,0
16,eunnho,226,195,2.944568767,-8.839243476,-4.771942892,-32.30460911,-57.15494443,-14.37176133,0,1,10.467767164783032,73.66227253727695,147.61037332732772,117.12093706930604,1.28564919027688,2.5762870246598863,2.0441459748804687,1
17,eunnho,315,382,0.557100799,-6.231957284,-9.356090591,18.0960193,19.80537659,10.18090666,1,2,11.255402437800516,87.16291156178183,123.6202483514399,146.22769984978248,1.5212797923777257,2.1575803558657185,2.552154819996722,5
18,eunnho,81,540,3.182941762,-5.547365831,-7.327454181,14.2810991,-30.44007334,-26.3759571,2,0,9.72604599505289,70.89747248913409,124.77546426006244,138.88442732323762,1.2373943262774896,2.1777426770426,2.423990536537272,6
19,eunnho,300,207,2.56404034,-7.934533939,-5.165189638,-18.606272,-42.8488161,-23.12247333,0,2,9.808685726986706,74.84654865829098,143.9914592147389,121.77557546286457,1.306318707841322,2.513125058048322,2.1253847403378043,2
20,eunnho,119,379,3.221248696,-7.020995199,-4.552125544,-23.39724672,-15.68790804,-12.97267989,1,0,8.966195609855946,68.94487825095051,141.54084665602352,120.5106602139921,1.2033151278657157,2.470353800208016,2.1033078044862963,3
21,eunnho,324,572,0.048482556,-5.072863821,-9.51530617,-7.377503327,27.08437579,10.3814376,2,2,10.783197550517524,89.74239040090383,118.06296021748456,151.9356447801445,1.5663001911059258,2.060587380446186,2.6517772525540573,8
22,eunnho,120,212,2.176179379,-8.138188965,-4.113388382,16.75527195,-66.81377106,-25.03819113,0,0,9.374744812569842,76.57736892199318,150.23825982862184,116.02564353418346,1.3365272202031615,2.6221522964761825,2.025029496416771,0
23,eunnho,297,202,2.763656612,-8.493579442,-5.196615288,-35.21528398,-8.879537912,-12.10521854,0,2,10.33361021415515,74.48780489183373,145.27919546514374,120.19103967065786,1.3000574479456373,2.535600295515173,2.0977293736481006,2
24,eunnho,306,393,0.802955382,-5.178059056,-8.476372287,39.72770651,23.99235256,3.391368215,1,2,9.965235575776822,85.37834484999404,121.3062494690494,148.27636447956226,1.49013322753554,2.117193456480535,2.58791076305553,5
25,eunnho,197,563,1.821089492,-5.272330746,-8.154501217,34.73733125,-2.558093247,0.731976326,2,1,9.879763586804302,79.37820681306599,122.25236906451578,145.6264401196432,1.3854110632169965,2.1337063585390603,2.541660858046139,7
26,eunnho,206,399,1.991826144,-6.513724307,-6.66770257,14.24117067,-17.51327098,-17.17805041,1,1,9.531748700921,77.93814527316482,133.10765999739257,134.38895807142364,1.3602772479143814,2.3231669265796464,2.3455297966709514,4
27,eunnho,216,201,3.8042368,-7.972840581,-4.614824284,-22.52920481,-36.39731652,-13.04479986,0,1,9.966694925235284,67.5612906526555,143.12516487481594,117.58244809461858,1.1791669687857071,2.498005369525276,2.052200861806427,1
28,eunnho,83,564,3.568407937,-5.120149303,-6.703166683,-2.286586825,-36.21856706,-8.213798519,2,0,9.158706659236184,67.06919317566073,123.98993077639824,137.04508225943093,1.1705782475713913,2.1640325313679987,2.39188790909354,6
29,eunnho,210,402,2.146102367,-5.752068319,-7.244854224,-1.833498542,-7.168625897,-23.7213187,1,1,9.49631286569146,76.93870978896219,127.28037984931656,139.72162000139528,1.3428338080537818,2.221461701559618,2.438602305244712,4
